DISTRITO,APARTADO,NUMERO DE ARCHIVO,SITUACION,DENOMINACION,SUPERFICIE,LAT,LNG,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.198,CALLE ARZOBISPO MORCILLOC/V AVENIDA MONFORTE DE LEMOS Y ANTONIO LOPEZ AGUADO,PARQUE NORTE,350000.00,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.199,AVENIDA MONFORTE DE LEMOSC/V AVENIDA DE BETANZOS Y SANTIAGO DE COMPOSTELA,PARQUE DE LA VAGUADA,30900.00,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.207,CALLE RAMON GOMEZ DE LA SERNA NUM 14,PARQUE LA MELONERA.,8085.00,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.209,CALLE LA MASO NUM 80,PARQUE ANA TUTOR,34479.22,,,
FUENCARRAL-EL PARDO,PARQUES Y JARDINES,300.226,CALLE FROMISTAC/ PALAS DEL REY C/V C/FROMISTA.,PARQUE LAS TABLAS,53766.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.359,AVENIDA PORTUGAL,PARQUE CASA DE CAMPO,17471554.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.366,AVENIDA CTRA MADRID A LA CORUÑA,VIVEROS DE LA VILLA,338843.45,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.367,PASEO MORETPLAZA DE LA MONCLOA CTRA DE CASTILLA,PARQUE DEL OESTE Y DE LA FLORIDA,846651.50,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.370,AVENIDA DOCTOR FEDERICO RUBIO Y GALI,JARDINES DE FRANCOS RODRIGUEZ.,41003.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.371,GLORIETA SAN ANTONIO DE LA FLORIDA,JARDINES DE SAN ANTONIO DE LA FLORIDA,1848.50,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.407,PARQUE ARROYO POZUELO,PARQUE ARROYO POZUELO,20667.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.373,CALLE GOLONDRINA NUM 4,JARDINES DE LA C/ BAJA DE LA IGLESIA,4000.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.374,CALLE VALDESANGIL NUM 8,ZONA VERDE CIUDAD DE LOS POETAS,12489.19,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.375,CALLE ESCULTOR PERESEJO (FRENTE) NUM 64FRENTE C/ ESCULTOR PERESEJO Nº 64.,PRADO DE LA VILLA (VALDECAHONDAS),44400.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.387,CALLE CERCADO DE ARAVACA VALDECAHONDE,AMPLIACION CASA DE CAMPO (VALDECAHONDE).,1240.00,,,
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.408,AVENIDA COMPLUTENSE NUM 40.CERRO DE LAS BALAS (DEHESA DE LA VILLA),26000.00,,,
LATINA,PARQUES Y JARDINES,300.417,CALLE JOSE DE CADALSOC/V GANDO Y GENERAL ROMERO BASART,JARDINES POLIGONO C DE CARABANCHEL,17300.00,,,
LATINA,PARQUES Y JARDINES,300.427,CALLE CARAMUEL Y ACCESOS A LA HUERTA DEL CASTAÑAR,PARQUE DE CARAMUEL.,80000.00,,,
LATINA,PARQUES Y JARDINES,300.428,CALLE GENERAL ROMERO BASARTC/V A LA C/ ALDEANUEVA DE LA VERA Y C/ GENERAL FANJUL,PARQUE DE CASILDA BUSTOS.,23026.00,,,
LATINA,PARQUES Y JARDINES,300.429,CALLE DUQUESA DE PARCENTC/V MARCELINO CASTILLO,PARQUE CERRO DE ALMODOVAR.,92800.00,,,
LATINA,PARQUES Y JARDINES,300.430,CALLE RAFAEL FINATC/V FUERTE DE NAVIDAD,PARQUE RAFAEL FINAT.,12600.00,,,
LATINA,PARQUES Y JARDINES,300.431,CALLE ALHAMBRAC/A A CALLE CUART DE POBLET,PARQUE CUÑA VERDE,5950.00,,,
LATINA,PARQUES Y JARDINES,300.448,PARQUE DE ALUCHE-ALCALDE CARLOS ARIASNAVARRO,PARQUE DE ALUCHE-ALCALDE CARLOS ARIAS NAVARRO.,88516.00,,,
LATINA,PARQUES Y JARDINES,300.484,CALLE GENERAL GARCIA ESCAMEZ NUM 5,IDB PARQUE GENERAL GARCIA ESCAMEZ,52953.01,,,
LATINA,PARQUES Y JARDINES,300.424,CALLE RAFAEL FINAT NUM 54C/GENERAL ROMERO BASART, C/VALLE INCLAN Y C/ ALDEANUEVA DE LA VERA.,PARQUE VALLE INCLAN.,1214.00,,,
LATINA,PARQUES Y JARDINES,300.426,AVENIDA POBLADOSCAMINO DE LAS CRUCES / C/ JOAQUIN TURINA.,PARQUE DE LAS CRUCES.,315887.00,,,
LATINA,PARQUES Y JARDINES,301.059,CALLE DANIEL SEGOVIA NUM 4 Y 6,COLONIA JARDIN,1624.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.490,AVENIDA POBLADOS,PARQUE DE LAS CRUCES.,315887.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.491,PASEO ERMITA DEL SANTOC/V PASEO QUINCE DE MAYO,PARQUE DE SAN ISIDRO,183600.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.492,CALLE EUGENIA DE MONTIJO,PARQUE EUGENIA DE MONTIJO,27900.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.493,AVENIDA VIA LUSITANA,PARQUE SUR (EMPERATRIZ MARIA DE AUSTRIA).,272799.99,,,
CARABANCHEL,PARQUES Y JARDINES,300.494,PASEO ERMITA DEL SANTO NUM 4,PARQUE SAN ISIDRO,2000.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.499,CALLE BALEARESY C/ ANTONIO DE LEYVA,PARQUE DE COMILLAS.,30100.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.511,CALLE ALBA DE TORMES NUM 2,PARQUE SANTA RITA,30000.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.512,CALLE PATRIMONIO DE LA HUMANIDAD NUM 37,PARQUE LA PESETA,41297.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.514,CALLE PATRIMONIO DE LA HUMANIDAD NUM 37,JARDIN LA CHOCOLATERA,8531.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.515,CALLE DE LA TORTA NUM 13C/ LOS MORALES - C/ LA TORTA.,PARQUE LOS CASTAÑOS,6465.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.516,CALLE LOS MORALES NUM 54,JARDIN LA HIDALGA,8531.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.517,CALLE LOS MORALES NUM 44,JARDIN DEL CUARTEL GRANDE,8444.00,,,
