CENTRO;28079004
ARGANZUELA;28079047
RETIRO;28079008
SALAMANCA;28079048
CHAMARTIN;28079011
TETUAN;28079038
CHAMBERI;28079038
FUENCARRAL-EL PARDO;28079039
MONCLOA-ARAVACA;28079024
LATINA;28079018
CARABANCHEL;0
USERA;28079056
PUENTE DE VALLECAS;0
MORATALAZ;28079036
CIUDAD LINEAL;28079016
HORTALEZA;28079057
VILLAVERDE;28079017
VILLA DE VALLECAS;28079040
VICALVARO;0
SAN BLAS-CANILLEJAS;28079016
BARAJAS;28079027
